GOLD_ID	BROAD_SCALE_LABEL	LOCAL_SCALE_LABEL	MEDIUM_LABEL	ENV_BROAD_SCALE	ENV_LOCAL_SCALE	ENV_MEDIUM	TYPE	MATCHED TERM	PREFERRED FORM	CURIE_SYNONYM_REMOVED	CURIE
Gb0156120	freshwater river biome	delta	microbial mat	ENVO_01000253	ENVO_00000101	ENVO_01000008	biolink:OntologyClass	Microbial mat	microbial mat	ENVO_01000008	ENVO:01000008
Gb0156127	freshwater river biome	delta	microbial mat	ENVO_01000253	ENVO_00000101	ENVO_01000008	biolink:OntologyClass	Microbial mat	microbial mat	ENVO_01000008	ENVO:01000008
Gb0155130	marine biome	marine water body	surface water	ENVO_00000447	ENVO_00001999	ENVO_00002042	biolink:OntologyClass	surface water	surface water	ENVO_00002042	ENVO:00002042
Gb0155573	freshwater river biome	river	microbial mat	ENVO_01000253	ENVO_00000022	ENVO_01000008	biolink:OntologyClass	Microbial mat	microbial mat	ENVO_01000008	ENVO:01000008
Gb0155573	freshwater river biome	river	microbial mat	ENVO_01000253	ENVO_00000022	ENVO_01000008	biolink:OntologyClass	microbial mat	microbial mat	ENVO_01000008	ENVO:01000008
Gb0155574	freshwater river biome	river	microbial mat	ENVO_01000253	ENVO_00000022	ENVO_01000008	biolink:OntologyClass	Microbial mat	microbial mat	ENVO_01000008	ENVO:01000008
Gb0155574	freshwater river biome	river	microbial mat	ENVO_01000253	ENVO_00000022	ENVO_01000008	biolink:OntologyClass	microbial mat	microbial mat	ENVO_01000008	ENVO:01000008
Gb0155575	freshwater river biome	river	microbial mat	ENVO_01000253	ENVO_00000022	ENVO_01000008	biolink:OntologyClass	Microbial mat	microbial mat	ENVO_01000008	ENVO:01000008
Gb0155575	freshwater river biome	river	microbial mat	ENVO_01000253	ENVO_00000022	ENVO_01000008	biolink:OntologyClass	microbial mat	microbial mat	ENVO_01000008	ENVO:01000008
Gb0155578	freshwater river biome	river	microbial mat	ENVO_01000253	ENVO_00000022	ENVO_01000008	biolink:OntologyClass	Microbial mat	microbial mat	ENVO_01000008	ENVO:01000008
Gb0155578	freshwater river biome	river	microbial mat	ENVO_01000253	ENVO_00000022	ENVO_01000008	biolink:OntologyClass	microbial mat	microbial mat	ENVO_01000008	ENVO:01000008
Gb0155579	freshwater river biome	river	microbial mat	ENVO_01000253	ENVO_00000022	ENVO_01000008	biolink:OntologyClass	Microbial mat	microbial mat	ENVO_01000008	ENVO:01000008
Gb0155579	freshwater river biome	river	microbial mat	ENVO_01000253	ENVO_00000022	ENVO_01000008	biolink:OntologyClass	microbial mat	microbial mat	ENVO_01000008	ENVO:01000008
Gb0156151	marine coral reef biome	coral reef	microbial mat	ENVO_01000049	ENVO_00000150	ENVO_01000008	biolink:OntologyClass	microbial mat	microbial mat	ENVO_01000008	ENVO:01000008
Gb0153416	marine hydrothermal vent biome	marine hydrothermal vent	sediment	ENVO_01000030	ENVO_01000122	ENVO_00002007	biolink:OntologyClass	sediment	sediment	ENVO_00002007	ENVO:00002007
Gb0157083	estuarine biome	estuary	estuarine water	ENVO_01000020	ENVO_00000045	ENVO_01000301	biolink:OntologyClass	Estuarine water	estuarine water	ENVO_01000301	ENVO:01000301
Gb0157086	estuarine biome	estuary	estuarine water	ENVO_01000020	ENVO_00000045	ENVO_01000301	biolink:OntologyClass	Estuarine water	estuarine water	ENVO_01000301	ENVO:01000301
Gb0155670	freshwater lake biome	freshwater lake	lake water	ENVO_01000252	ENVO_00000021	ENVO_04000007	biolink:OntologyClass	lake water	lake water	ENVO_04000007	ENVO:04000007
Gb0155674	freshwater lake biome	freshwater lake	lake water	ENVO_01000252	ENVO_00000021	ENVO_04000007	biolink:OntologyClass	lake water	lake water	ENVO_04000007	ENVO:04000007
Gb0155679	freshwater lake biome	freshwater lake	lake water	ENVO_01000252	ENVO_00000021	ENVO_04000007	biolink:OntologyClass	lake water	lake water	ENVO_04000007	ENVO:04000007
Gb0157087	estuarine biome	estuary	estuarine water	ENVO_01000020	ENVO_00000045	ENVO_01000301	biolink:OntologyClass	Estuarine water	estuarine water	ENVO_01000301	ENVO:01000301
Gb0157089	estuarine biome	estuary	estuarine water	ENVO_01000020	ENVO_00000045	ENVO_01000301	biolink:OntologyClass	Estuarine water	estuarine water	ENVO_01000301	ENVO:01000301
Gb0157091	estuarine biome	estuary	estuarine water	ENVO_01000020	ENVO_00000045	ENVO_01000301	biolink:OntologyClass	Estuarine water	estuarine water	ENVO_01000301	ENVO:01000301
Gb0157095	estuarine biome	estuary	estuarine water	ENVO_01000020	ENVO_00000045	ENVO_01000301	biolink:OntologyClass	Estuarine water	estuarine water	ENVO_01000301	ENVO:01000301
Gb0157103	estuarine biome	estuary	estuarine water	ENVO_01000020	ENVO_00000045	ENVO_01000301	biolink:OntologyClass	Estuarine water	estuarine water	ENVO_01000301	ENVO:01000301
Gb0157105	estuarine biome	intertidal zone	estuarine water	ENVO_01000020	ENVO_00000316	ENVO_01000301	biolink:OntologyClass	Estuarine water	estuarine water	ENVO_01000301	ENVO:01000301
Gb0155682	freshwater lake biome	freshwater lake	lake water	ENVO_01000252	ENVO_00000021	ENVO_04000007	biolink:OntologyClass	lake water	lake water	ENVO_04000007	ENVO:04000007
Gb0155683	freshwater lake biome	freshwater lake	lake water	ENVO_01000252	ENVO_00000021	ENVO_04000007	biolink:OntologyClass	lake water	lake water	ENVO_04000007	ENVO:04000007
Gb0155684	freshwater lake biome	freshwater lake	lake water	ENVO_01000252	ENVO_00000021	ENVO_04000007	biolink:OntologyClass	lake water	lake water	ENVO_04000007	ENVO:04000007
Gb0155687	freshwater lake biome	freshwater lake	lake water	ENVO_01000252	ENVO_00000021	ENVO_04000007	biolink:OntologyClass	lake water	lake water	ENVO_04000007	ENVO:04000007
Gb0155688	freshwater lake biome	freshwater lake	lake water	ENVO_01000252	ENVO_00000021	ENVO_04000007	biolink:OntologyClass	lake water	lake water	ENVO_04000007	ENVO:04000007
Gb0155692	freshwater lake biome	freshwater lake	lake water	ENVO_01000252	ENVO_00000021	ENVO_04000007	biolink:OntologyClass	lake water	lake water	ENVO_04000007	ENVO:04000007
Gb0155693	freshwater lake biome	freshwater lake	lake water	ENVO_01000252	ENVO_00000021	ENVO_04000007	biolink:OntologyClass	lake water	lake water	ENVO_04000007	ENVO:04000007
Gb0154600	aquatic biome	hypersaline lake	lake water	ENVO_00002030	ENVO_01001020	ENVO_04000007	biolink:OntologyClass	lake water	lake water	ENVO_04000007	ENVO:04000007
Gb0157169	freshwater biome	aquifer	sediment	ENVO_00000873	ENVO_00012408	ENVO_00002007	biolink:OntologyClass	sediment	sediment	ENVO_00002007	ENVO:00002007
Gb0157171	freshwater biome	aquifer	sediment	ENVO_00000873	ENVO_00012408	ENVO_00002007	biolink:OntologyClass	sediment	sediment	ENVO_00002007	ENVO:00002007
Gb0157172	freshwater biome	aquifer	sediment	ENVO_00000873	ENVO_00012408	ENVO_00002007	biolink:OntologyClass	sediment	sediment	ENVO_00002007	ENVO:00002007
Gb0157183	forest biome	organic feature	forest soil	ENVO_01000174	ENVO_01000159	ENVO_00002261	biolink:OntologyClass	Forest soil	forest soil	ENVO_00002261	ENVO:00002261
Gb0157183	forest biome	organic feature	forest soil	ENVO_01000174	ENVO_01000159	ENVO_00002261	biolink:OntologyClass	forest soil	forest soil	ENVO_00002261	ENVO:00002261
Gb0153536	tropical biome	peatland	peat soil	ENVO_01001830	ENVO_00000044	ENVO_00005774	biolink:OntologyClass	peat	peat soil	ENVO_00005774	ENVO:00005774_SYNONYM
Gb0153536	tropical biome	peatland	peat soil	ENVO_01001830	ENVO_00000044	ENVO_00005774	biolink:OntologyClass	peat soil	peat soil	ENVO_00005774	ENVO:00005774
Gb0153536	tropical biome	peatland	peat soil	ENVO_01001830	ENVO_00000044	ENVO_00005774	biolink:OntologyClass	Peat	peat soil	ENVO_00005774	ENVO:00005774_SYNONYM
Gb0153536	tropical biome	peatland	peat soil	ENVO_01001830	ENVO_00000044	ENVO_00005774	biolink:OntologyClass	Peat soil	peat soil	ENVO_00005774	ENVO:00005774
Gb0153542	tropical biome	peatland	peat soil	ENVO_01001830	ENVO_00000044	ENVO_00005774	biolink:OntologyClass	peat	peat soil	ENVO_00005774	ENVO:00005774_SYNONYM
Gb0153542	tropical biome	peatland	peat soil	ENVO_01001830	ENVO_00000044	ENVO_00005774	biolink:OntologyClass	peat soil	peat soil	ENVO_00005774	ENVO:00005774
Gb0153542	tropical biome	peatland	peat soil	ENVO_01001830	ENVO_00000044	ENVO_00005774	biolink:OntologyClass	Peat	peat soil	ENVO_00005774	ENVO:00005774_SYNONYM
Gb0153542	tropical biome	peatland	peat soil	ENVO_01001830	ENVO_00000044	ENVO_00005774	biolink:OntologyClass	Peat soil	peat soil	ENVO_00005774	ENVO:00005774
Gb0153544	tropical biome	peatland	peat soil	ENVO_01001830	ENVO_00000044	ENVO_00005774	biolink:OntologyClass	peat	peat soil	ENVO_00005774	ENVO:00005774_SYNONYM
Gb0153544	tropical biome	peatland	peat soil	ENVO_01001830	ENVO_00000044	ENVO_00005774	biolink:OntologyClass	peat soil	peat soil	ENVO_00005774	ENVO:00005774
Gb0153544	tropical biome	peatland	peat soil	ENVO_01001830	ENVO_00000044	ENVO_00005774	biolink:OntologyClass	Peat	peat soil	ENVO_00005774	ENVO:00005774_SYNONYM
Gb0153544	tropical biome	peatland	peat soil	ENVO_01001830	ENVO_00000044	ENVO_00005774	biolink:OntologyClass	Peat soil	peat soil	ENVO_00005774	ENVO:00005774
Gb0153545	tropical biome	peatland	peat soil	ENVO_01001830	ENVO_00000044	ENVO_00005774	biolink:OntologyClass	peat	peat soil	ENVO_00005774	ENVO:00005774_SYNONYM
Gb0153545	tropical biome	peatland	peat soil	ENVO_01001830	ENVO_00000044	ENVO_00005774	biolink:OntologyClass	peat soil	peat soil	ENVO_00005774	ENVO:00005774
Gb0153545	tropical biome	peatland	peat soil	ENVO_01001830	ENVO_00000044	ENVO_00005774	biolink:OntologyClass	Peat	peat soil	ENVO_00005774	ENVO:00005774_SYNONYM
Gb0153545	tropical biome	peatland	peat soil	ENVO_01001830	ENVO_00000044	ENVO_00005774	biolink:OntologyClass	Peat soil	peat soil	ENVO_00005774	ENVO:00005774
Gb0153548	tropical biome	peatland	peat soil	ENVO_01001830	ENVO_00000044	ENVO_00005774	biolink:OntologyClass	peat	peat soil	ENVO_00005774	ENVO:00005774_SYNONYM
Gb0153548	tropical biome	peatland	peat soil	ENVO_01001830	ENVO_00000044	ENVO_00005774	biolink:OntologyClass	peat soil	peat soil	ENVO_00005774	ENVO:00005774
Gb0153548	tropical biome	peatland	peat soil	ENVO_01001830	ENVO_00000044	ENVO_00005774	biolink:OntologyClass	Peat	peat soil	ENVO_00005774	ENVO:00005774_SYNONYM
Gb0153548	tropical biome	peatland	peat soil	ENVO_01001830	ENVO_00000044	ENVO_00005774	biolink:OntologyClass	Peat soil	peat soil	ENVO_00005774	ENVO:00005774
Gb0153550	tropical biome	peatland	peat soil	ENVO_01001830	ENVO_00000044	ENVO_00005774	biolink:OntologyClass	peat	peat soil	ENVO_00005774	ENVO:00005774_SYNONYM
Gb0153550	tropical biome	peatland	peat soil	ENVO_01001830	ENVO_00000044	ENVO_00005774	biolink:OntologyClass	peat soil	peat soil	ENVO_00005774	ENVO:00005774
Gb0153550	tropical biome	peatland	peat soil	ENVO_01001830	ENVO_00000044	ENVO_00005774	biolink:OntologyClass	Peat	peat soil	ENVO_00005774	ENVO:00005774_SYNONYM
Gb0153550	tropical biome	peatland	peat soil	ENVO_01001830	ENVO_00000044	ENVO_00005774	biolink:OntologyClass	Peat soil	peat soil	ENVO_00005774	ENVO:00005774
