	NMDC_analysis_id	relation	NERSC_activity_json	API_alternate_ids
42	nmdc:mga011yj63	was_informed_by	Gp0566826	['img.taxon:3300046471']
43	nmdc:mga01293	was_informed_by	SRR12479797	null
44	nmdc:mga012mg91	was_informed_by	Gp0306238	null
45	nmdc:mga013c454	was_informed_by	Gp0306234	null
46	nmdc:mga0142282	was_informed_by	Gp0566815	['img.taxon:3300046475']
47	nmdc:mga01584	was_informed_by	Gp0138759	['img.taxon:3300025412', 'biosample:SAMN06265142']
48	nmdc:mga0159515	was_informed_by	Gp0306233	null
49	nmdc:mga01681	was_informed_by	Gp0116332	['img.taxon:3300027880', 'biosample:SAMN06343961']
50	nmdc:mga016p657	was_informed_by	Gp0566706	['img.taxon:3300048623']
51	nmdc:mga01778	was_informed_by	Gp0208366	['img.taxon:3300014165', 'biosample:SAMN07631764']
52	nmdc:mga017mc69	was_informed_by	Gp0225778	null
53	nmdc:mga017te69	was_informed_by	Gp0321278	['img.taxon:3300042830', 'biosample:SAMN10864253', 'gold:Gb0191658']
54	nmdc:mga0194153	was_informed_by	Gp0321268	['img.taxon:3300042814', 'biosample:SAMN10863951', 'gold:Gb0191648']
55	nmdc:mga01972	was_informed_by	Gp0208382	['img.taxon:3300014151', 'biosample:SAMN07631779']
56	nmdc:mga01ak297	was_informed_by	Gp0321286	['img.taxon:3300042846', 'biosample:SAMN10864139', 'gold:Gb0191666']
57	nmdc:mga01bcz35	was_informed_by	Gp0225776	null
58	nmdc:mga01bg617	was_informed_by	Gp0306226	null
59	nmdc:mga01dmr31	was_informed_by	Gp0321294	['img.taxon:3300042840', 'biosample:SAMN10864125', 'gold:Gb0191674']
60	nmdc:mga01dqc70	was_informed_by	SAMEA7724345_ERR5002153	['gold:Gb0240049']
61	nmdc:mga01e1a86	was_informed_by	Gp0566663	['img.taxon:3300046784']
62	nmdc:mga01ekv53	was_informed_by	SAMEA7724211_ERR5003207	['gold:Gb0240101']
63	nmdc:mga01enr64	was_informed_by	Gp0321277	['img.taxon:3300042829', 'biosample:SAMN10864142', 'gold:Gb0191657']
64	nmdc:mga01evm82	was_informed_by	Gp0225791	null
65	nmdc:mga01h3602	was_informed_by	SAMEA7724284	null
66	nmdc:mga01hdy37	was_informed_by	Gp0344878	['img.taxon:3300031765', 'biosample:SAMN11532763']
67	nmdc:mga01hpq67	was_informed_by	Gp0146713	null
68	nmdc:mga01j5636	was_informed_by	Gp0344866	['img.taxon:3300031668', 'biosample:SAMN10864364']
69	nmdc:mga01k42	was_informed_by	Gp0213356	['img.taxon:3300018017', 'biosample:SAMN08779025']
70	nmdc:mga01r1q76	was_informed_by	SAMEA7724295_ERR5004861	['gold:Gb0240016']
71	nmdc:mga01r27	was_informed_by	SRR8849276	null
72	nmdc:mga01s24	was_informed_by	Gp0138739	null
73	nmdc:mga01sm875	was_informed_by	Gp0331390	null
74	nmdc:mga01tbe80	was_informed_by	SAMEA7724299_ERR5004865	['gold:Gb0239920']
75	nmdc:mga01v18	was_informed_by	Gp0138757	['img.taxon:3300009760', 'biosample:SAMN06266178']
76	nmdc:mga01vn649	was_informed_by	Gp0566801	['img.taxon:3300046660']
77	nmdc:mga01vqm09	was_informed_by	SAMEA7724304_ERR5004870	['gold:Gb0239925']
78	nmdc:mga01z06	was_informed_by	Gp0138752	null
79	nmdc:mga01z0n14	was_informed_by	Gp0566840	['img.taxon:3300046477']
80	nmdc:mga01zyp41	was_informed_by	Gp0566737	['img.taxon:3300047316']
81	nmdc:mga0203888	was_informed_by	Gp0208560	null
82	nmdc:mga020qn69	was_informed_by	Gp0321266	['img.taxon:3300042825', 'biosample:SAMN10864376', 'gold:Gb0191646']
83	nmdc:mga020ss59	was_informed_by	Gp0566680	['img.taxon:3300049445']
84	nmdc:mga020y721	was_informed_by	Gp0566672	['img.taxon:3300046716']
85	nmdc:mga02197	was_informed_by	SRR13122219	null
86	nmdc:mga021f738	was_informed_by	Gp0321308	['img.taxon:3300042856', 'biosample:SAMN10864412', 'gold:Gb0191688']
87	nmdc:mga02294	was_informed_by	SRR8849266	null
88	nmdc:mga02585	was_informed_by	Gp0138731	['img.taxon:3300025414', 'biosample:SAMN06264668']
89	nmdc:mga0260a77	was_informed_by	Gp0331400	null
90	nmdc:mga02682	was_informed_by	Gp0213374	['img.taxon:3300018044', 'biosample:SAMN08776812']
91	nmdc:mga026tn70	was_informed_by	Gp0115678	['img.taxon:3300042755', 'biosample:SAMN06343878', 'gold:Gb0115232']
92	nmdc:mga026wt57	was_informed_by	Gp0321416	null
93	nmdc:mga0270k82	was_informed_by	Gp0331409	null
94	nmdc:mga027kw74	was_informed_by	Gp0321411	null
95	nmdc:mga02876	was_informed_by	Gp0213358	['img.taxon:3300018019', 'biosample:SAMN08778335']
96	nmdc:mga028x879	was_informed_by	SAMEA7724332_ERR5004173	['gold:Gb0240036']
97	nmdc:mga02973	was_informed_by	Gp0208371	['img.taxon:3300014167', 'biosample:SAMN07631769']
98	nmdc:mga029dh68	was_informed_by	Gp0344820	['img.taxon:3300031805', 'biosample:SAMN11532138']
99	nmdc:mga02djr83	was_informed_by	SAMEA7724342_ERR5004183	['gold:Gb0240046']
100	nmdc:mga02f9c77	was_informed_by	SAMEA7724308_ERR5004936	['gold:Gb0240022']
101	nmdc:mga02ft906	was_informed_by	Gp0119859	['img.taxon:3300042786', 'biosample:SAMN06343775', 'gold:Gb0119269']
102	nmdc:mga02gdb19	was_informed_by	Gp0344857	['img.taxon:3300032059', 'biosample:SAMN11532485']
103	nmdc:mga02ht194	was_informed_by	Gp0344832	['img.taxon:3300031768', 'biosample:SAMN10864296']
104	nmdc:mga02kzm09	was_informed_by	Gp0321283	['img.taxon:3300042843', 'biosample:SAMN10864254', 'gold:Gb0191663']
105	nmdc:mga02mx002	was_informed_by	Gp0225786	null
106	nmdc:mga02nm607	was_informed_by	SAMEA7724204_ERR5004678	['gold:Gb0240065']
107	nmdc:mga02nv905	was_informed_by	SAMEA7724316_ERR5003414	['gold:Gb0240030']
108	nmdc:mga02p34	was_informed_by	Gp0213353	['img.taxon:3300018030', 'biosample:SAMN08777593']
109	nmdc:mga02qev02	was_informed_by	Gp0344835	['img.taxon:3300031846', 'biosample:SAMN11532312']
110	nmdc:mga02r9c74	was_informed_by	SAMEA7724294_ERR5004073	['gold:Gb0240015']
111	nmdc:mga02tmf43	was_informed_by	SAMEA7724305_ERR5002067	['gold:Gb0239926']
112	nmdc:mga02tph39	was_informed_by	Gp0127636	['img.taxon:3300042770', 'biosample:SAMN06267122', 'gold:Gb0126437']
113	nmdc:mga02vfg67	was_informed_by	Gp0331402	null
114	nmdc:mga02w2h83	was_informed_by	Gp0208576	['img.taxon:3300031879', 'biosample:SAMN07630340']
115	nmdc:mga02wem86	was_informed_by	Gp0566812	['img.taxon:3300047318']
116	nmdc:mga02xq187	was_informed_by	SAMEA7724289_ERR5002054	['gold:Gb0239939']
117	nmdc:mga02y3f57	was_informed_by	Gp0306230	null
118	nmdc:mga03004	was_informed_by	SRR12480320	null
119	nmdc:mga030nq18	was_informed_by	Gp0566818	['img.taxon:3300046528']
120	nmdc:mga0317978	was_informed_by	Gp0127655	['img.taxon:3300042800', 'biosample:SAMN06267140', 'gold:Gb0126456']
121	nmdc:mga031gf69	was_informed_by	Gp0566650	['img.taxon:3300046783']
122	nmdc:mga031qk64	was_informed_by	Gp0566699	['img.taxon:3300047090']
123	nmdc:mga03295	was_informed_by	Gp0208380	['img.taxon:3300014201', 'biosample:SAMN07631778']
124	nmdc:mga033n765	was_informed_by	SAMEA7724284	null
125	nmdc:mga03683	was_informed_by	Gp0116321	['img.taxon:3300006177', 'biosample:SAMN06264567']
126	nmdc:mga036tv09	was_informed_by	Gp0566782	['img.taxon:3300046507']
127	nmdc:mga037my26	was_informed_by	Gp0566708	['img.taxon:3300046725']
128	nmdc:mga038c334	was_informed_by	Gp0108341	null
129	nmdc:mga03974	was_informed_by	Gp0213364	['img.taxon:3300018016', 'biosample:SAMN08776814']
130	nmdc:mga0398459	was_informed_by	Gp0321418	null
131	nmdc:mga03a71	was_informed_by	SRR8849273	null
132	nmdc:mga03d62	was_informed_by	SRR8849283	null
133	nmdc:mga03eyz63	was_informed_by	Gp0127623	['img.taxon:3300042757', 'biosample:SAMN06266292', 'gold:Gb0126424']
134	nmdc:mga03fnv98	was_informed_by	Gp0321404	null
135	nmdc:mga03gac67	was_informed_by	Gp0566660	['img.taxon:3300046788']
136	nmdc:mga03ggs34	was_informed_by	SAMEA7724337_ERR5004178	['gold:Gb0240041']
137	nmdc:mga03gw024	was_informed_by	Gp0566792	['img.taxon:3300046513']
138	nmdc:mga03jww04	was_informed_by	Gp0566735	['img.taxon:3300049453']
139	nmdc:mga03k7778	was_informed_by	Gp0344886	['img.taxon:3300032008', 'biosample:SAMN11532884']
140	nmdc:mga03m3r55	was_informed_by	Gp0344823	['img.taxon:3300031724', 'biosample:SAMN11533374']
141	nmdc:mga03m5e87	was_informed_by	SAMEA7724219_ERR5004693	['gold:Gb0240098']
142	nmdc:mga03n38	was_informed_by	Gp0116322	['img.taxon:3300006048', 'biosample:SAMN06264538']
143	nmdc:mga03ndz76	was_informed_by	Gp0321423	null
144	nmdc:mga03nj659	was_informed_by	Gp0306227	null
145	nmdc:mga03p4e53	was_informed_by	Gp0344846	['img.taxon:3300031798', 'biosample:SAMN11532591']
146	nmdc:mga03ps698	was_informed_by	Gp0119856	['img.taxon:3300042783', 'biosample:SAMN06343772', 'gold:Gb0119266']
147	nmdc:mga03ptd78	was_informed_by	Gp0566733	['img.taxon:3300047314']
148	nmdc:mga03q3514	was_informed_by	SAMEA7724208_ERR5003895	['gold:Gb0240087']
149	nmdc:mga03s1188	was_informed_by	Gp0566756	['img.taxon:3300046472']
150	nmdc:mga03sr017	was_informed_by	SAMEA7724288_ERR5002053	['gold:Gb0239938']
151	nmdc:mga03t6x41	was_informed_by	SAMEA7724283	null
152	nmdc:mga03vd943	was_informed_by	Gp0566717	['img.taxon:3300046747']
153	nmdc:mga03x14	was_informed_by	Gp0138751	null
154	nmdc:mga03xpg95	was_informed_by	Gp0566696	['img.taxon:3300046741']
155	nmdc:mga03y9a35	was_informed_by	Gp0344818	['img.taxon:3300031860', 'biosample:SAMN11532109']
156	nmdc:mga03zvw31	was_informed_by	Gp0566860	['img.taxon:3300047471']
157	nmdc:mga0402025	was_informed_by	SAMEA7724312_ERR5003410	['gold:Gb0240026']
158	nmdc:mga041je31	was_informed_by	Gp0325959	['img.taxon:3300033289', 'biosample:SAMN11532176']
159	nmdc:mga0421670	was_informed_by	SAMEA7724325_ERR5002141	['gold:Gb0315661']
160	nmdc:mga043xj94	was_informed_by	Gp0306248	null
161	nmdc:mga04490	was_informed_by	SRR8849255	null
162	nmdc:mga044q659	was_informed_by	Gp0321422	null
163	nmdc:mga044re36	was_informed_by	SAMEA7724349_ERR5002157	['gold:Gb0240053']
164	nmdc:mga045k105	was_informed_by	Gp0119864	['img.taxon:3300042805', 'biosample:SAMN06343779', 'gold:Gb0119274']
165	nmdc:mga04684	was_informed_by	SRR8849279	null
166	nmdc:mga04781	was_informed_by	SRR13122276	null
167	nmdc:mga0481n23	was_informed_by	Gp0306235	null
168	nmdc:mga0483864	was_informed_by	Gp0321269	['img.taxon:3300042819', 'biosample:SAMN10864150', 'gold:Gb0191649']
169	nmdc:mga048e778	was_informed_by	Gp0225784	null
170	nmdc:mga04a72	was_informed_by	Gp0138754	null
171	nmdc:mga04bd679	was_informed_by	Gp0566849	['img.taxon:3300047469']
172	nmdc:mga04c66	was_informed_by	Gp0116335	null
173	nmdc:mga04d1e10	was_informed_by	SAMEA7724293	null
174	nmdc:mga04djc33	was_informed_by	SAMEA7724344_ERR5002152	['gold:Gb0240048']
175	nmdc:mga04e0r11	was_informed_by	Gp0344827	['img.taxon:3300032063', 'biosample:SAMN11533384']
176	nmdc:mga04f57	was_informed_by	Gp0116321	null
177	nmdc:mga04g54	was_informed_by	Gp0138730	['img.taxon:3300025409', 'biosample:SAMN06266155']
178	nmdc:mga04h51	was_informed_by	Gp0116327	['img.taxon:3300027866', 'biosample:SAMN06264537']
179	nmdc:mga04hfg49	was_informed_by	SAMEA7724280_ERR5002046	['gold:Gb0240012']
180	nmdc:mga04hmk45	was_informed_by	Gp0321406	null
181	nmdc:mga04jr429	was_informed_by	Gp0208582	['img.taxon:3300031890', 'biosample:SAMN07630346']
182	nmdc:mga04k45	was_informed_by	Gp0208379	['img.taxon:3300014638', 'biosample:SAMN07631777']
183	nmdc:mga04kmx79	was_informed_by	Gp0344856	['img.taxon:3300032051', 'biosample:SAMN11528586']
184	nmdc:mga04myz18	was_informed_by	Gp0225787	null
185	nmdc:mga04nbd85	was_informed_by	Gp0566701	['img.taxon:3300046825']
186	nmdc:mga04p2d11	was_informed_by	Gp0566659	['img.taxon:3300049441']
187	nmdc:mga04rdz32	was_informed_by	SAMEA7724338_ERR5004966	['gold:Gb0240042']
188	nmdc:mga04ret48	was_informed_by	SAMEA7724283_ERR5004849	['gold:Gb0239935']
189	nmdc:mga04ryr70	was_informed_by	Gp0566719	['img.taxon:3300046727']
190	nmdc:mga04txv27	was_informed_by	Gp0208576	null
191	nmdc:mga04xd673	was_informed_by	Gp0331410	null
192	nmdc:mga04xnj45	was_informed_by	Gp0127626	['img.taxon:3300042760', 'biosample:SAMN06264429', 'gold:Gb0126427']
193	nmdc:mga04z09	was_informed_by	SRR13122057	null
194	nmdc:mga050vf59	was_informed_by	Gp0566648	['img.taxon:3300046736']
195	nmdc:mga052ja32	was_informed_by	Gp0566693	['img.taxon:3300046740']
196	nmdc:mga052v265	was_informed_by	Gp0566635	['img.taxon:3300048622']
197	nmdc:mga0541q40	was_informed_by	SAMEA7724304_ERR5002066	['gold:Gb0239925']
198	nmdc:mga05491	was_informed_by	Gp0213347	['img.taxon:3300018034', 'biosample:SAMN08776827']
199	nmdc:mga054a603	was_informed_by	Gp0344868	['img.taxon:3300031880', 'biosample:SAMN11533382']
200	nmdc:mga054x719	was_informed_by	SAMEA7724315_ERR5003413	['gold:Gb0240029']
201	nmdc:mga0560v91	was_informed_by	Gp0225775	null
202	nmdc:mga05685	was_informed_by	SRR12479812	null
203	nmdc:mga056eb56	was_informed_by	Gp0566814	['img.taxon:3300046460']
204	nmdc:mga05a9c79	was_informed_by	Gp0325961	['img.taxon:3300031942', 'biosample:SAMN11532866']
205	nmdc:mga05j0s93	was_informed_by	SAMEA7724336_ERR5004177	['gold:Gb0240040']
206	nmdc:mga05j49	was_informed_by	Gp0138760	null
207	nmdc:mga05k7983	was_informed_by	Gp0306240	null
208	nmdc:mga05m0b05	was_informed_by	Gp0566767	['img.taxon:3300046458']
209	nmdc:mga05m43	was_informed_by	Gp0213340	['img.taxon:3300017925', 'biosample:SAMN08777133']
210	nmdc:mga05n40	was_informed_by	Gp0138743	['img.taxon:3300025406', 'biosample:SAMN06266171']
211	nmdc:mga05p37	was_informed_by	Gp0116340	['img.taxon:3300009147', 'biosample:SAMN06264565']
212	nmdc:mga05pqa95	was_informed_by	SAMEA7724288_ERR5003332	['gold:Gb0239938']
213	nmdc:mga05q34	was_informed_by	Gp0213375	['img.taxon:3300017996', 'biosample:SAMN08779029']
214	nmdc:mga05r31	was_informed_by	Gp0213348	['img.taxon:3300018022', 'biosample:SAMN08778333']
215	nmdc:mga05rf666	was_informed_by	Gp0331408	null
216	nmdc:mga05rxj44	was_informed_by	Gp0331397	null
217	nmdc:mga05w5k48	was_informed_by	SAMEA7724348_ERR5003435	['gold:Gb0240052']
218	nmdc:mga05wn412	was_informed_by	Gp0566770	['img.taxon:3300046499']
219	nmdc:mga05y13	was_informed_by	Gp0213351	['img.taxon:3300018033', 'biosample:SAMN08779017']
220	nmdc:mga05y7365	was_informed_by	SAMEA7724345_ERR5004186	['gold:Gb0240049']
221	nmdc:mga05zg309	was_informed_by	SAMEA7724283	null
222	nmdc:mga05zvf81	was_informed_by	Gp0127633	['img.taxon:3300042767', 'biosample:SAMN06267119', 'gold:Gb0126434']
223	nmdc:mga06104	was_informed_by	Gp0138755	null
224	nmdc:mga0616x82	was_informed_by	Gp0344847	['img.taxon:3300032067', 'biosample:SAMN11532767']
225	nmdc:mga061xc59	was_informed_by	Gp0566780	['img.taxon:3300047317']
226	nmdc:mga06298	was_informed_by	Gp0138752	['img.taxon:3300025576', 'biosample:SAMN06266175']
227	nmdc:mga0652t21	was_informed_by	SAMEA7724315_ERR5002134	['gold:Gb0240029']
228	nmdc:mga065kt38	was_informed_by	SAMEA7724296_ERR5003339	['gold:Gb0240017']
229	nmdc:mga06686	was_informed_by	SRR8849288	null
230	nmdc:mga067bb42	was_informed_by	Gp0321419	null
231	nmdc:mga067n182	was_informed_by	Gp0566681	['img.taxon:3300046717']
232	nmdc:mga06880	was_informed_by	Gp0138762	null
233	nmdc:mga06977	was_informed_by	Gp0138751	['img.taxon:3300025434', 'biosample:SAMN06266185']
234	nmdc:mga0699s62	was_informed_by	Gp0566828	['img.taxon:3300046529']
235	nmdc:mga06a74	was_informed_by	Gp0138735	['img.taxon:3300025359', 'biosample:SAMN06266169']
236	nmdc:mga06akz86	was_informed_by	Gp0119871	['img.taxon:3300042810', 'biosample:SAMN06266346', 'gold:Gb0119281']
237	nmdc:mga06d65	was_informed_by	Gp0213350	['img.taxon:3300018015', 'biosample:SAMN08777606']
238	nmdc:mga06es992	was_informed_by	Gp0306239	null
239	nmdc:mga06f4615	was_informed_by	Gp0208583	['img.taxon:3300031954', 'biosample:SAMN07630347']
240	nmdc:mga06g4356	was_informed_by	SAMEA7724312_ERR5004940	['gold:Gb0240026']
241	nmdc:mga06gxg42	was_informed_by	Gp0321310	['img.taxon:3300042859', 'biosample:SAMN10864135', 'gold:Gb0191690']
242	nmdc:mga06kfs97	was_informed_by	Gp0566636	['img.taxon:3300048687']
243	nmdc:mga06mqp49	was_informed_by	Gp0119863	['img.taxon:3300042790', 'biosample:SAMN06343778', 'gold:Gb0119273']
244	nmdc:mga06n7k74	was_informed_by	Gp0115665	['img.taxon:3300042743', 'biosample:SAMN06343865', 'gold:Gb0115219']
245	nmdc:mga06nrz55	was_informed_by	Gp0344844	['img.taxon:3300031770', 'biosample:SAMN11532110']
246	nmdc:mga06r32	was_informed_by	Gp0116344	['img.taxon:3300006847', 'biosample:SAMN06343972']
247	nmdc:mga06rnc11	was_informed_by	Gp0127640	['img.taxon:3300042774', 'biosample:SAMN06267126', 'gold:Gb0126441']
248	nmdc:mga06s29	was_informed_by	SRR12480236	null
249	nmdc:mga06ssm23	was_informed_by	Gp0566656	['img.taxon:3300047310']
250	nmdc:mga06vkj87	was_informed_by	Gp0566669	['img.taxon:3300049444']
251	nmdc:mga06w20	was_informed_by	SRR13122201	null
252	nmdc:mga06w3448	was_informed_by	Gp0566692	['img.taxon:3300047311']
253	nmdc:mga06xhx19	was_informed_by	Gp0208567	null
254	nmdc:mga06y14	was_informed_by	SRR12480120	null
255	nmdc:mga06y4x38	was_informed_by	SAMEA7724346_ERR5003433	['gold:Gb0240050']
256	nmdc:mga06z11	was_informed_by	Gp0116326	['img.taxon:3300006178', 'biosample:SAMN06266332']
257	nmdc:mga07008	was_informed_by	SRR8849199	null
258	nmdc:mga0709194	was_informed_by	SAMEA7724339_ERR5004967	['gold:Gb0240043']
259	nmdc:mga070n982	was_informed_by	Gp0566698	['img.taxon:3300047089']
260	nmdc:mga070qp45	was_informed_by	SAMEA7724204_ERR5003200	['gold:Gb0240065']
261	nmdc:mga070wa86	was_informed_by	Gp0566836	['img.taxon:3300046810']
262	nmdc:mga071r920	was_informed_by	Gp0127629	['img.taxon:3300042763', 'biosample:SAMN06267115', 'gold:Gb0126430']
263	nmdc:mga072kj20	was_informed_by	Gp0119860	['img.taxon:3300042787', 'biosample:SAMN06343776', 'gold:Gb0119270']
264	nmdc:mga0746f80	was_informed_by	SAMEA7724294_ERR5002058	['gold:Gb0240015']
265	nmdc:mga07493	was_informed_by	Gp0138733	null
266	nmdc:mga0763x02	was_informed_by	SAMEA7724343_ERR5003430	['gold:Gb0240047']
267	nmdc:mga076fg53	was_informed_by	SAMEA7724278_ERR5002044	['gold:Gb0240010']
268	nmdc:mga076j492	was_informed_by	Gp0321305	['img.taxon:3300042877', 'biosample:SAMN10864201', 'gold:Gb0191685']
269	nmdc:mga0789741	was_informed_by	Gp0566794	['img.taxon:3300046514']
270	nmdc:mga079y988	was_informed_by	Gp0127653	['img.taxon:3300042798', 'biosample:SAMN06267138', 'gold:Gb0126454']
271	nmdc:mga07aeg83	was_informed_by	Gp0566791	['img.taxon:3300048090']
272	nmdc:mga07bpb41	was_informed_by	SAMEA7724128_ERR5004506	['gold:Gb0239950']
273	nmdc:mga07cts35	was_informed_by	Gp0325960	['img.taxon:3300031573', 'biosample:SAMN10864215']
274	nmdc:mga07d7123	was_informed_by	Gp0208578	null
275	nmdc:mga07e63	was_informed_by	Gp0116333	['img.taxon:3300006853', 'biosample:SAMN06343962']
276	nmdc:mga07f5p22	was_informed_by	SAMEA7724294_ERR5003337	['gold:Gb0240015']
277	nmdc:mga07fqj52	was_informed_by	Gp0566781	['img.taxon:3300046474']
278	nmdc:mga07fr495	was_informed_by	Gp0095973	null
279	nmdc:mga07gx047	was_informed_by	SAMEA7724347_ERR5004188	['gold:Gb0240051']
280	nmdc:mga07gxh93	was_informed_by	Gp0566674	['img.taxon:3300046791']
281	nmdc:mga07h8z62	was_informed_by	SAMEA7723902_ERR5003109	['gold:Gb0240115']
282	nmdc:mga07jpm44	was_informed_by	SAMEA7724303_ERR5004082	['gold:Gb0239924']
283	nmdc:mga07m2h97	was_informed_by	Gp0225768	null
284	nmdc:mga07m45	was_informed_by	Gp0116329	['img.taxon:3300006353', 'biosample:SAMN06343959']
285	nmdc:mga07t1c12	was_informed_by	SAMEA7724345_ERR5004973	['gold:Gb0240049']
286	nmdc:mga07tz563	was_informed_by	Gp0321293	['img.taxon:3300042847', 'biosample:SAMN10864331', 'gold:Gb0191673']
287	nmdc:mga07w21	was_informed_by	Gp0208361	['img.taxon:3300014156', 'biosample:SAMN07631760']
288	nmdc:mga08009	was_informed_by	Gp0213338	['img.taxon:3300017938', 'biosample:SAMN08779014']
289	nmdc:mga081c477	was_informed_by	Gp0119852	['img.taxon:3300042779', 'biosample:SAMN06343768', 'gold:Gb0119262']
290	nmdc:mga08203	was_informed_by	Gp0138759	null
291	nmdc:mga0822t33	was_informed_by	Gp0127641	['img.taxon:3300042775', 'biosample:SAMN06267127', 'gold:Gb0126442']
292	nmdc:mga084rf55	was_informed_by	Gp0566804	['img.taxon:3300046516']
293	nmdc:mga087qn35	was_informed_by	Gp0331401	null
294	nmdc:mga0882a79	was_informed_by	Gp0566685	['img.taxon:3300046795']
295	nmdc:mga08882.prev	was_informed_by	Gp0116335	null
296	nmdc:mga08882	was_informed_by	Gp0116335	['img.taxon:3300009156', 'biosample:SAMN06343964']
297	nmdc:mga0894a16	was_informed_by	Gp0344838	['img.taxon:3300031572', 'biosample:SAMN10864289']
298	nmdc:mga08acq17	was_informed_by	Gp0566700	['img.taxon:3300047091']
299	nmdc:mga08be217	was_informed_by	Gp0566769	['img.taxon:3300047673']
300	nmdc:mga08bha93	was_informed_by	SAMEA7724285_ERR5002051	['gold:Gb0239937']
301	nmdc:mga08dbn21	was_informed_by	Gp0119857	['img.taxon:3300042784', 'biosample:SAMN06343773', 'gold:Gb0119267']
302	nmdc:mga08dc570	was_informed_by	Gp0344900	['img.taxon:3300031796', 'biosample:SAMN11532135']
303	nmdc:mga08dx684	was_informed_by	Gp0566825	['img.taxon:3300046694']
304	nmdc:mga08e8598	was_informed_by	Gp0225783	null
305	nmdc:mga08eba86	was_informed_by	Gp0566855	['img.taxon:3300047446']
306	nmdc:mga08ehn59	was_informed_by	Gp0344821	['img.taxon:3300031778', 'biosample:SAMN11532405']
307	nmdc:mga08f61	was_informed_by	SRR8849218	null
308	nmdc:mga08hnt47	was_informed_by	Gp0127651	['img.taxon:3300042797', 'biosample:SAMN06267136', 'gold:Gb0126452']
309	nmdc:mga08j52	was_informed_by	SRR8849208	null
